Timestamp,Open price,Close price,High price,Low price,Volume
2021-07-01 00:00:00,34577,34795,34795,34577,44537724
2021-07-01 00:15:00,34795,34832.5,34966,34794.5,42430882
2021-07-01 00:30:00,34832.5,34900.5,34989.5,34832,38523948
2021-07-01 00:45:00,34900.5,34792,34913.5,34666,44353158
2021-07-01 01:00:00,34792,34641,34820,34614.5,30833127
2021-07-01 01:15:00,34641,34790,34833,34641,36273998
2021-07-01 01:30:00,34790,34877.5,34925,34790,35559630
2021-07-01 01:45:00,34877.5,34880.5,34898.5,34777.5,28764759
2021-07-01 02:00:00,34880.5,35076,35098.5,34880.5,52588421
2021-07-01 02:15:00,35076,34984.5,35076,34977,18049730
2021-07-01 02:30:00,34984.5,35081.5,35081.5,34978.5,25611869
2021-07-01 02:45:00,35081.5,35027,35180,35007.5,36647922
2021-07-01 03:00:00,35027,34828.5,35031,34777,56672920
2021-07-01 03:15:00,34828.5,34792,34873.5,34713,48561918
2021-07-01 03:30:00,34792,34764,34827.5,34744.5,25946456
2021-07-01 03:45:00,34764,34722,34831,34722,20604733
2021-07-01 04:00:00,34722,34812,34812.5,34722,19995082
2021-07-01 04:15:00,34812,34885,34927,34800,23464123
2021-07-01 04:30:00,34885,34918,34988,34844,22464976
2021-07-01 04:45:00,34918,34944,35030,34907,14897424
2021-07-01 05:00:00,34944,34568,34957.5,34511,64675431
2021-07-01 05:15:00,34568,34490.5,34568,34438,57585061
2021-07-01 05:30:00,34490.5,34319.5,34490.5,34230,70860566
2021-07-01 05:45:00,34319.5,34301.5,34338,34262,19034754
2021-07-01 06:00:00,34301.5,34214.5,34379.5,34132.5,47957703
2021-07-01 06:15:00,34214.5,34220.5,34320,34214.5,20507487
2021-07-01 06:30:00,34220.5,34240.5,34315,34152,19534030
2021-07-01 06:45:00,34240.5,34111.5,34253,34111,24736413
2021-07-01 07:00:00,34111.5,34199.5,34223,34068.5,35376902
2021-07-01 07:15:00,34199.5,34163,34300,34120,35210609
2021-07-01 07:30:00,34163,34200.5,34239,34115,16387585
2021-07-01 07:45:00,34200.5,34302,34302.5,34200,13651667
2021-07-01 08:00:00,34302,34289.5,34305,34235,13207044
2021-07-01 08:15:00,34289.5,34220.5,34289.5,34170,12578197
2021-07-01 08:30:00,34220.5,34252,34256.5,34213,6575647
