,predicted_mean
0,0.0001324974074903938
1,3.165632473975125
2,3.136933773291226
3,2.971940118706422
4,2.956190629249904
5,3.032449183390911
6,3.0355634745288222
7,2.9050664395675234
8,2.92544549572291
9,2.9626977682379407
10,2.929801079258752
11,2.96747683885261
12,2.960604086293699
13,2.93942203977817
14,2.941053609880061
15,2.9413842196550903
16,2.857327860918682
17,2.901091576601573
18,2.8628007939111635
19,2.886389125934967
20,2.8979814225127067
21,2.954666504453243
22,2.973160585904824
23,3.046881793053954
24,3.0471602812020806
25,3.2149497596975642
26,3.2436946620509133
27,3.2837392152819684
28,3.1116493343177756
29,2.9259057677566447
30,2.9751557240230673
31,3.139358412463442
32,3.271158370077898
33,3.3920274778472757
34,3.144117444092609
35,3.2961176671444634
36,3.248634054649609
37,3.290138024734656
38,3.206903331962204
39,3.2324071205970064
40,3.191171407542482
41,3.145188126288084
42,3.277910804323794
43,3.2260398313797882
44,3.246876370867415
45,3.2786208422634724
46,3.3625075792902375
47,3.3089056796897287
48,3.297327404577754
49,3.2121659901241735
50,3.2557310062959184
51,3.26742426143238
52,3.2676461913526773
53,3.264851608687053
54,3.195971143509527
55,3.173278071475134
56,3.189982684990844
57,3.1641602413099927
58,3.06595224170984
59,3.0731867476240127
60,3.0797065961405763
61,3.1161486056456367
62,3.087745673899298
63,3.2232770878457053
64,3.216451553722855
65,3.1691156573229975
66,3.1929692039604443
67,3.181310815187784
68,3.2052846179441974
69,3.221527194866108
70,3.2484159571000517
71,3.2658965924076337
72,3.296324610613025
73,3.1861820590348775
74,3.176442736022203
75,3.14378445324278
76,3.1152593905979775
77,3.171270182396627
78,3.2112477703474167
79,3.3161972912698676
80,3.2316505798466872
81,3.2543967329100605
82,3.213922519240348
83,3.1992676974302685
84,3.1343097604404977
85,3.1321160286174394
86,3.1232305386884183
87,3.205124920723154
88,3.2774367557907156
89,3.2043411195157945
90,3.1762884058302667
91,3.217803353706108
92,3.2595263891054036
93,3.229303605640342
94,3.191901630627256
95,3.1950390361012113
96,3.2291283165333153
97,3.151933079555659
98,3.163975363732722
99,3.2138792049192926
100,3.252304429710961
101,3.2373171478272527
102,3.272280652399117
103,3.2379655701789187
104,3.3623813952779256
105,3.3951965427700754
106,3.3955819705473385
107,3.4533827846581158
108,3.4474784703165535
109,3.4859249773675303
110,3.5749899229292468
111,3.6177296685117026
112,3.6616485044737956
113,3.656135390423672
114,3.5959120979763886
115,3.8904771111545804
116,3.897369141797525
117,3.916840395934477
118,3.7597245420053884
119,3.7015276482821413
120,3.6858741079769013
121,3.7058426919364726
122,3.711638200230766
123,3.729741833109475
124,3.6769595442917695
125,3.729618135370156
126,3.7668469311185953
127,3.7691211150040798
128,3.7449098138728796
129,3.778965498751074
130,3.8659822617812014
131,3.778921936445455
132,3.8091640243819214
133,3.752839375034436
134,3.7190290607636864
135,3.7165216251423367
136,3.7675149685471347
137,3.695330446856043
138,3.7169912559465783
139,3.7146904942201
140,3.7563241708623294
141,3.7089772292806553
142,3.66264813730204
143,3.712920503903103
144,3.743896039097855
145,3.812575577612786
146,3.7984950913665285
147,3.746689654865261
148,3.7034045815326997
149,3.704055447372463
150,3.6445496623909004
151,3.6713732349729367
152,3.679652859709462
153,3.6847440324775977
154,3.7345927048485987
155,3.77225078615858
156,3.714497868493104
157,3.705721612731852
158,3.732744751142426
159,3.7263469017148845
160,3.7208539737604447
161,3.8106204997324085
162,3.7259985189296527
163,3.7109383444430315
164,3.694248863731794
165,3.7354900718014328
166,3.7464502177918013
167,3.742696277503506
168,3.7553066221428213
169,3.7983890506368367
170,3.83627731652082
171,3.7836805920818075
172,3.770549389944625
173,3.739244795945169
174,3.7226069683053282
175,3.7103803069998618
176,3.7598283408096447
177,3.7208664993396408
178,3.7095141164592076
179,3.609916132919102
180,3.64757988526147
181,3.6485586833547075
182,3.6682832898300797
183,3.738427860605925
184,3.757557438877601
185,3.8727097200396865
186,3.85891224465569
187,3.7683258391861796
188,3.6848563715422733
189,3.71131189978123
190,3.734954892763799
191,3.833226424298876
192,3.7463907038820885
193,3.7435732722295043
194,3.7712650825913543
195,3.8475382166994208
196,3.8963977459910484
197,3.8974499260056366
198,3.9006679631741137
199,4.094770616014006
200,4.073566331192615
201,3.9530535925011265
202,3.9305046977407225
203,3.679776978549867
204,3.73735814249368
205,3.6447201644556917
206,3.6875109086663356
207,3.8706769087304083
208,3.8376737306164337
209,3.8683411245915122
210,3.9172180105535976
211,3.8013580463453134
212,3.8738578007680293
213,3.962624977504933
214,3.863919161697184
215,3.8120031885339207
216,3.8697350478297787
217,3.8664261293889526
218,3.850445475921573
219,3.8212349894447986
220,3.895802033300485
221,3.931753417680231
222,3.9281350410360294
223,3.9677178126541657
224,3.9443325635874045
225,4.002480712681902
226,4.017716645653671
227,3.9581163849549985
228,3.9421158409208097
229,3.9213419806071594
230,3.9347464570973445
231,3.8656067111661265
232,3.8100247012336856
233,3.851347264836304
234,3.7994520945589367
235,3.881359723613313
236,3.9011672948164144
237,3.8514261517375994
238,3.9395652403893773
239,3.832164998396289
240,3.8137389239652464
241,3.8436556961895887
242,3.843641319245378
243,3.8374344875176485
244,3.830721368535727
245,3.8402133124480793
246,3.814917990493552
247,3.8473693414591144
248,3.856271847870999
249,3.8521996498147497
250,3.8391393606315503
251,3.7159101337657616
252,3.7034232764737807
253,3.7143599426543705
254,3.6620913721193036
255,3.6552564443130553
256,3.6383385537061383
257,3.6031822640219957
258,3.556464376340432
259,3.631520615120518
260,3.747565286570763
261,3.764425148614673
262,3.7492871154120535
263,3.773455484830675
264,3.729885571354347
265,3.7206172721023743
266,3.732454781044107
267,3.660045145491479
268,3.640488671579212
269,3.625563813239699
270,3.6239541142676317
271,3.6248634788786815
272,3.6355740275867805
273,3.6171720418851274
274,3.6024712289063165
275,3.585297745073463
276,3.612278026813589
277,3.628915618338862
278,3.618766338706696
279,3.6366163936438416
280,3.6251509058552176
281,3.637780248277673
282,3.62173459320585
283,3.6187793014387615
284,3.663418125654271
285,3.6640560901943084
286,3.7484828876613787
287,3.6797178410686424
288,3.6758298089219723
289,3.6507161546231788
290,3.6509799066893565
291,3.6725497446706523
292,3.661832076569976
293,3.650641546147026
294,3.6542469110459024
295,3.6092225403962193
296,3.552938987799738
297,3.5367801138718864
298,3.5032662314022947
299,3.476564974087075
300,3.5261054568548604
301,3.487423031602178
302,3.4696201483813214
